delivery_bucket,total_orders,avg_review_score,avg_delivery_days,one_star_rate_pct,five_star_rate_pct
Late,7644,2.567765567765568,31.345107273678703,46.11459968602826,22.252747252747252
Normal (8-14 days),37202,4.308854362668674,10.639696790495135,6.408257620558035,62.75200258050643
Slow (15+ days),20665,4.092475199612872,19.719477377207838,8.676506169852408,53.37527219937092
Fast (<=7 days),30214,4.414013371284835,4.962997286026345,5.398159793473225,68.25312768915073
